,precision,recall,f1-score,support
1. Eczema 1677,0.5596,0.6733,0.6112,251.0
10. Warts Molluscum and other Viral Infections - 2103,0.7119,0.6804,0.6958,316.0
2. Melanoma 15.75k,0.9852,0.888,0.9341,375.0
3. Atopic Dermatitis - 1.25k,0.6779,0.6267,0.6513,225.0
4. Basal Cell Carcinoma (BCC) 3323,0.8477,0.92,0.8824,375.0
5. Melanocytic Nevi (NV) - 7970,0.8591,0.8453,0.8522,375.0
6. Benign Keratosis-like Lesions (BKL) 2624,0.7652,0.8045,0.7844,312.0
7. Psoriasis pictures Lichen Planus and related diseases - 2k,0.6385,0.539,0.5845,308.0
8. Seborrheic Keratoses and other Benign Tumors - 1.8k,0.7568,0.7076,0.7313,277.0
9. Tinea Ringworm Candidiasis and other Fungal Infections - 1.7k,0.6027,0.6992,0.6474,256.0
accuracy,0.7531,0.7531,0.7531,0.7531
macro avg,0.7405,0.7384,0.7374,3070.0
weighted avg,0.7579,0.7531,0.7536,3070.0
